"","year","country","ccode","datastartyear","dataendyear","mk_onset_count","mk_offset_count","mk_ongoing_count","mk_location_ever","mk_responsible_ever","mk_ongoing_widescope","mk_ongoing_code","mk_ethnicflag","mk_ongoing","mk_onset","mk_offset","widetargeting","narrowtargeting"
"3551",1935,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3552",1936,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3553",1937,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3554",1938,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3555",1939,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3556",1940,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3557",1941,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3558",1942,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3559",1943,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3560",1944,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3561",1945,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3562",1946,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3563",1947,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3564",1948,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3565",1949,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3566",1950,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3567",1951,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3568",1952,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3569",1953,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3570",1954,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3571",1955,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3572",1956,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3573",1957,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3574",1958,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3575",1959,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3576",1960,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3577",1961,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3578",1962,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3579",1963,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3580",1964,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3581",1965,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3582",1966,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3583",1967,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3584",1968,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3585",1969,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3586",1970,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3587",1971,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3588",1972,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3589",1973,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3590",1974,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3591",1975,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3592",1976,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3593",1977,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3594",1978,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3595",1979,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3596",1980,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3597",1981,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3598",1982,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3599",1983,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3600",1984,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3601",1985,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3602",1986,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3603",1987,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3604",1988,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3605",1989,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3606",1990,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3607",1991,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3608",1992,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3609",1993,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3610",1994,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3611",1995,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3612",1996,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3613",1997,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3614",1998,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3615",1999,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3616",2000,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3617",2001,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3618",2002,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3619",2003,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3620",2004,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3621",2005,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3622",2006,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3623",2007,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3624",2008,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3625",2009,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3626",2010,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3627",2011,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3628",2012,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3629",2013,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3630",2014,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3631",2015,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3632",2016,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3633",2017,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3634",2018,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3635",2019,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3636",2020,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3637",2021,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3638",2022,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3639",2023,"Albania",339,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3640",2006,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3641",2007,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3642",2008,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3643",2009,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3644",2010,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3645",2011,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3646",2012,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3647",2013,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3648",2014,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3649",2015,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3650",2016,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3651",2017,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3652",2018,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3653",2019,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3654",2020,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3655",2021,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3656",2022,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3657",2023,"Montenegro",341,2006,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3658",1991,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3659",1992,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3660",1993,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3661",1994,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3662",1995,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3663",1996,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3664",1997,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3665",1998,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3666",1999,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3667",2000,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3668",2001,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3669",2002,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3670",2003,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3671",2004,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3672",2005,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3673",2006,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3674",2007,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3675",2008,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3676",2009,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3677",2010,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3678",2011,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3679",2012,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3680",2013,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3681",2014,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3682",2015,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3683",2016,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3684",2017,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3685",2018,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3686",2019,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3687",2020,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3688",2021,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3689",2022,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3690",2023,"Macedonia (Former Yugoslav Republic of)",343,1991,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3691",1991,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3692",1992,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3693",1993,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3694",1994,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3695",1995,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3696",1996,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3697",1997,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3698",1998,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3699",1999,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3700",2000,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3701",2001,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3702",2002,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3703",2003,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3704",2004,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3705",2005,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3706",2006,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3707",2007,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3708",2008,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3709",2009,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3710",2010,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3711",2011,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3712",2012,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3713",2013,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3714",2014,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3715",2015,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3716",2016,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3717",2017,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3718",2018,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3719",2019,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3720",2020,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3721",2021,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3722",2022,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3723",2023,"Croatia",344,1991,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3724",1934,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3725",1935,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3726",1936,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3727",1937,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3728",1938,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3729",1939,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3730",1940,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3731",1941,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3732",1942,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3733",1943,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3734",1944,"Serbia",345,1934,2023,0,0,0,0,0,0,"","",0,0,0,0,0
"3735",1945,"Serbia",345,1934,2023,2,0,2,1,1,0,"; yug1945s1; yug1945s2","; 2",1,1,0,1,0
"3736",1946,"Serbia",345,1934,2023,0,0,2,1,1,0,"; yug1945s1; yug1945s2","; 2",1,0,0,1,0
"3737",1947,"Serbia",345,1934,2023,0,0,2,1,1,0,"; yug1945s1; yug1945s2","; 2",1,0,0,1,0
"3738",1948,"Serbia",345,1934,2023,0,1,2,1,1,0,"; yug1945s1; yug1945s2","; 2",1,0,1,1,0
"3739",1949,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3740",1950,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3741",1951,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3742",1952,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3743",1953,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3744",1954,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3745",1955,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1945s2","; 2",1,0,0,1,0
"3746",1956,"Serbia",345,1934,2023,0,1,1,1,1,0,"; yug1945s2","; 2",1,0,1,1,0
"3747",1957,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3748",1958,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3749",1959,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3750",1960,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3751",1961,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3752",1962,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3753",1963,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3754",1964,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3755",1965,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3756",1966,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3757",1967,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3758",1968,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3759",1969,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3760",1970,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3761",1971,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3762",1972,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3763",1973,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3764",1974,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3765",1975,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3766",1976,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3767",1977,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3768",1978,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3769",1979,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3770",1980,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3771",1981,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3772",1982,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3773",1983,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3774",1984,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3775",1985,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3776",1986,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3777",1987,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3778",1988,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3779",1989,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3780",1990,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3781",1991,"Serbia",345,1934,2023,1,0,1,1,1,0,"; yug1991s1","; 1",1,1,0,0,1
"3782",1992,"Serbia",345,1934,2023,1,1,2,1,1,0,"; yug1991s1; yug1192s1","; 1",1,1,1,0,1
"3783",1993,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1192s1","; 1",1,0,0,0,1
"3784",1994,"Serbia",345,1934,2023,0,0,1,1,1,0,"; yug1192s1","; 1",1,0,0,0,1
"3785",1995,"Serbia",345,1934,2023,0,1,1,1,1,0,"; yug1192s1","; 1",1,0,1,0,1
"3786",1996,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3787",1997,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3788",1998,"Serbia",345,1934,2023,1,0,1,1,1,0,"; scg1998s1","; 1",1,1,0,0,1
"3789",1999,"Serbia",345,1934,2023,0,1,1,1,1,0,"; scg1998s1","; 1",1,0,1,0,1
"3790",2000,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3791",2001,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3792",2002,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3793",2003,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3794",2004,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3795",2005,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3796",2006,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3797",2007,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3798",2008,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3799",2009,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3800",2010,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3801",2011,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3802",2012,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3803",2013,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3804",2014,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3805",2015,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3806",2016,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3807",2017,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3808",2018,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3809",2019,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3810",2020,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3811",2021,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3812",2022,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3813",2023,"Serbia",345,1934,2023,0,0,0,1,1,0,"","",0,0,0,0,0
"3814",1992,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3815",1993,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3816",1994,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3817",1995,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3818",1996,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3819",1997,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3820",1998,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3821",1999,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3822",2000,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3823",2001,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3824",2002,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3825",2003,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3826",2004,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3827",2005,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3828",2006,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3829",2007,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3830",2008,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3831",2009,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3832",2010,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
"3833",2011,"Bosnia-Herzegovina",346,1992,2023,0,0,0,1,0,0,"","",0,0,0,0,0
